rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
HN,Heteronucia mesanensis ,Heteronucia mesanensis Rathbun,,EN,0.6
HN,Arcania sagamiensis Sakai,Arcania sagamiensis Sakai,,EN,0.6
HN,Leucosia pulchra Shen & Chen,Leucosia pulchra Shen & Chen,,EN,0.6
HN,Leucosia sinica Shen & Chen,Leucosia sinica Shen & Chen,,EN,0.6
HN,Paratymolus sexspinosus Miers,Paratymolus sexspinosus Miers,,EN,0.6
HN,Libystes nitidus A.Milne Edwards,Libystes nitidus A.Milne Edwards,,EN,0.6
HN,Portunus brockii,,,EN,0.6
HN,Portunus rubromarginatus ,Portunus rubromarginatus,,EN,0.6
HN,Portunus tridentatus ,"Portunus tridentatus Yang,Dai & Song",,EN,0.6
HN,Thalamita spinimera ,Thalamita spinimera Stephenson & Rees,,EN,0.6
HN,Thalamita procorrugata ,"Thalamita procorrugata Dai,Cai & Yang ",,EN,0.6
HN,Thalamita platypodis ,Thalamita platypedis Dai & Chen,,EN,0.6
